0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,Difference in Expected Annual Damage Deventer-Gorssel,Expected Annual Damage Gorssel,Difference in Expected Number of Deaths Deventer-Gorssel
1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,73.0,340.5382418359992,1.5,2.0,1.0,4.0,0.8955827445171365,331.9168361677192,1.0,8.0,3.0,10.0,0.11998784704774264,119.17089702764787,10,6.0,4.0,8.0,0.28845539673162435,240.80133178397884,10,0.7384815873928562,217.5385131655595,1.5,0.9130203491931311,2.5,4.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Policy 0,dikesnet,20230171.28095285,0.003972260558368912,0.02250233767652739
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,52.0,45.23490612114134,1.5,0.0,7.0,8.0,0.5104544386741406,80.37435070529583,1.0,4.0,10.0,3.0,0.6514023668456084,236.33753343066846,1.5,2.0,3.0,5.0,0.42032923976322756,270.1497186434892,10,0.9032252985526036,208.8350075467157,1.5,0.5755009817448218,4.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Policy 0,dikesnet,152449610.2057155,0.0013015344393350454,0.12389468144443198
1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,8.0,65.5841232802012,10,1.0,10.0,0.0,0.7950348830718919,343.4036666661038,10,9.0,1.0,9.0,0.401991975342769,150.00366180923714,1.5,7.0,0.0,8.0,0.8295360170698426,72.63947307607475,1.0,0.05401061374532157,152.25760951510392,10,0.1915458505899679,3.5,2.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Policy 0,dikesnet,84465829.29202917,0.07189902764027524,0.05037819379335391
1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,103.0,59.05271231107993,10,4.0,6.0,2.0,0.1478323731866954,242.90399855806882,1.0,5.0,3.0,4.0,0.7786323955040746,246.73254157063474,1.0,5.0,2.0,4.0,0.595123267063548,222.28405482377266,1.0,0.18640033560516583,250.41566593880407,1.0,0.541317164323045,1.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Policy 0,dikesnet,9441238.466185957,0.04323699201008402,0.014412330670028006
1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,19.0,196.42162720694867,10,4.0,3.0,1.0,0.9961281001871217,187.12553126971844,1.0,5.0,4.0,10.0,0.9972076300049665,88.79637019003427,1.0,1.0,5.0,2.0,0.08594295508005106,204.39631962451693,10,0.23690901748480347,85.69895762041367,10,0.23880047159995108,1.5,4.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Policy 0,dikesnet,51136942.8629159,0.03421681237404542,0.04783349831787687
0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,99.0,283.7970172227042,1.0,10.0,10.0,7.0,0.5668318348635707,287.20041767756027,10,8.0,0.0,3.0,0.4474899033637008,226.48366829238478,1.5,10.0,5.0,7.0,0.3721442022604876,82.97909548671151,1.5,0.4454650227301872,58.36928407577356,1.5,0.4242157279584879,1.5,3.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Policy 0,dikesnet,28703749.26775097,0.02241384909084431,0.03281829103582851
0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,34.0,303.49869387286833,10,7.0,5.0,6.0,0.61498115047513,263.3726401652841,10,10.0,10.0,6.0,0.608396026666785,56.44548411833928,10,0.0,0.0,10.0,0.7741987659548344,180.24914422785127,1.0,0.7841149227737837,197.58380920959036,1.5,0.8391289563877538,3.5,3.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,Policy 0,dikesnet,59433246.692021355,0.00410888745441167,0.07065154971759846
0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,116.0,211.5092442671923,1.0,7.0,2.0,9.0,0.8163675595071808,210.26197467321734,10,6.0,8.0,5.0,0.7156848542263248,282.17631352598005,1.0,8.0,1.0,9.0,0.9475018649863269,216.35688539783087,1.5,0.9527410716491298,47.53208399260693,1.5,0.8114502459838193,2.5,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,Policy 0,dikesnet,55085100.24447612,0.0013108369630090181,0.05324169971094249
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,109.0,34.725653167550824,1.0,9.0,10.0,1.0,0.947764764406648,102.24274711950468,1.5,4.0,5.0,7.0,0.8321731083810298,209.23195494598914,1.0,1.0,3.0,3.0,0.19334100392543824,94.4098589966819,1.0,0.7059929621079138,337.3368121638433,10,0.5306887220746483,4.5,3.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Policy 0,dikesnet,122007159.1818977,0.004741452031548664,0.11142607301663175
0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,40.0,173.51540495308492,1.0,1.0,4.0,8.0,0.759302973209964,42.446774543921535,1.0,0.0,5.0,4.0,0.2415724598807466,170.18335385517432,1.0,6.0,8.0,6.0,0.9760375377907579,84.472788949597,1.0,0.005159882454382048,273.87550755227903,1.0,0.455881088591417,4.5,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,Policy 0,dikesnet,91838832.04352337,0.07576184647790232,0.026262842419656783
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,66.0,146.9190288059197,1.0,6.0,1.0,5.0,0.4211832838382543,87.78732045891171,1.5,7.0,3.0,5.0,0.9131687355414908,66.89890392257655,10,1.0,2.0,6.0,0.9270445199401477,143.32821416733518,1.5,0.4939223600822426,138.9885952836362,10,0.016992053011310224,3.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Policy 0,dikesnet,1016965460.2115613,0.009009620928871788,0.8888166494891401
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,96.76958184499841,10,8.0,6.0,0.0,0.4629436921904753,113.4449840472532,1.5,2.0,4.0,9.0,0.8797826052442073,217.7383088493609,10,8.0,1.0,3.0,0.6226396409104084,122.21772293233671,1.0,0.5062815809116958,77.53440972776929,10,0.7527220506990528,1.5,4.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,Policy 0,dikesnet,10735582.200523768,0.008828119081398985,0.00863743653062307
1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,24.0,134.09967254885112,1.5,1.0,4.0,2.0,0.12752536206182538,34.46315375429613,10,7.0,2.0,8.0,0.7526983041984008,135.95836643806223,1.0,9.0,6.0,0.0,0.4894857859572169,108.99707911801389,1.5,0.8955084838779598,308.29139505982903,1.0,0.7157204045047115,1.5,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,Policy 0,dikesnet,125879613.16014776,0.004222526037650512,0.11002603152689398
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,81.25226327259445,1.5,1.0,4.0,9.0,0.23595833411927813,248.90841370640243,10,6.0,2.0,10.0,0.5608535325493181,34.592500202304535,10,5.0,5.0,9.0,0.5544143800021188,56.256734049386594,10,0.13683119690932527,224.62137528139942,10,0.6644642690487986,3.5,2.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,Policy 0,dikesnet,35446238.9475345,0.054553607223922856,0.018184535741307618
