hypervolume,epsilon_progress,nfe
0.0,0,0
0.39485472224068857,11,100
0.4064920885218634,22,397
0.4158027038597105,35,693
0.4265963616110638,43,989
0.4280389461127609,46,1284
0.43255434610609417,48,1573
0.4303982739161744,50,1834
0.4303982739161744,50,2097
0.4303982739161744,50,2357
0.4303982739161744,50,2613
0.4303982739161744,50,2863
0.4303982739161744,50,3126
0.4303982739161744,50,3384
0.4303982739161744,50,3640
0.4303982739161744,50,3911
0.4303982739161744,50,4178
0.4303982739161744,50,4443
0.4303982739161744,50,4698
0.4303982739161744,50,4959
