hypervolume,epsilon_progress,nfe
0.0,0,0
0.07290617377564236,8,100
0.08422782405385151,14,300
0.08832809255405628,22,591
0.07898237012593648,29,887
0.04582035227135043,33,1179
0.04582035227135043,33,1464
0.04582035227135043,33,1728
0.04582035227135043,33,1998
0.04582035227135043,33,2280
0.04582035227135043,33,2557
0.04582035227135043,33,2839
0.04582035227135043,33,3120
0.04582035227135043,33,3395
0.04582035227135043,33,3670
0.04582035227135043,33,3936
0.04582035227135043,33,4210
0.04582035227135043,33,4479
0.04582035227135043,33,4755
