hypervolume,epsilon_progress,nfe,scenario
0.0,0,0,middle
0.3959898602855443,7,100,middle
0.4195904084745936,8,300,middle
0.44524367425473677,12,500,middle
0.45715110617402593,14,799,middle
0.4658956553193666,20,1095,middle
0.46603029234371784,24,1387,middle
0.4663793583180038,30,1678,middle
0.4662890707876572,40,1961,middle
0.4662900278265122,42,2232,middle
0.46591720715942203,44,2500,middle
0.46591720715942203,44,2764,middle
0.0,0,0,best
0.49659472613302647,3,100,best
0.6291116262903267,6,397,best
0.6291116262903267,6,597,best
0.6350430636137847,9,892,best
0.648814987662464,12,1185,best
0.6527713665235015,13,1477,best
0.6527726687066779,15,1757,best
0.6527726687066779,15,2019,best
0.6527726687066779,15,2241,best
0.6527726687066779,15,2481,best
0.6527726687066779,15,2738,best
0.6527726687066779,15,2991,best
0.0,0,0,worst
0.10139445352627804,5,100,worst
0.18406010900582892,11,300,worst
0.21283052508277714,18,599,worst
0.22653523716901586,22,799,worst
0.23589132422556047,26,1097,worst
0.24259044284915382,31,1396,worst
0.2496467108954772,42,1685,worst
0.2499343267481924,51,1969,worst
0.2496238663568908,57,2246,worst
0.24964578182792757,58,2517,worst
0.24964586782856435,59,2787,worst
