Difference in Expected Annual Damage Gorssel-Deventer,Difference in Expected Number of Deaths Gorssel-Deventer,Gorssel Expected Annual Damage,Gorssel Expected Number of Deaths,Total Costs of Policies
-1547.1617350992537,-1.2654204190348135e-06,0.0,0.0,795429466.3955054
-1505.9456121800686,-1.472576858819391e-06,0.0,0.0,1415018677.3133612
-2540.091206542959,-2.338430442527532e-06,0.0,0.0,1203765102.8837972
-10385.011708638896,-8.741870269138722e-06,0.0,0.0,1160600713.038374
-3333.6566335351795,-3.557019667954737e-06,0.0,0.0,1165962310.6423206
-1496.3663171008784,-1.627342722894857e-06,3813463.926860993,0.0027241987774545475,1396902413.0044866
-5949.023712793507,-4.974527110601868e-06,12451153.606495295,0.00654985193679291,1050686278.5137407
-5770.226151065087,-5.0269625318773474e-06,0.0,0.0,1264733035.2789054
-770.6966924857353,-6.917986174290424e-07,4461776.016614521,0.002607828384997001,1132192513.7130823
-417.83919513732513,-3.761572192823329e-07,11951510.655103855,0.007411139182787909,1296517592.4140897
-7557.8545653957335,-5.767989521414809e-06,0.0,0.0,1158004645.4628792
-751.0537127675058,-7.265974830686985e-07,4289000.286613565,0.0027293096423453705,927273482.494892
-514.4573083008067,-5.380055549897894e-07,0.0,0.0,982498897.3468366
-1180.165898988897,-1.2874265086696697e-06,0.0,0.0,1253593404.3310165
-3852.183432195827,-2.9633469990367235e-06,360121.83201583277,0.00016389817191533488,1081228183.4052372
-3461.339478610476,-3.087392743341298e-06,0.0,0.0,924640596.3145527
-298.72994703640524,-3.106759867386042e-07,0.0,0.0,1380677102.1358557
-3882.980275671879,-3.860994436451644e-06,5547299.2930647135,0.0034257371470071555,1250426815.82764
-270.54401619945327,-3.269830723962193e-07,0.0,0.0,928733529.7555659
-456.0218335720871,-4.726378862928049e-07,0.0,0.0,1104618439.201976
-980.838556809261,-9.563888396707623e-07,0.0,0.0,906175123.9809816
-587.680936702084,-4.3038102277759405e-07,0.0,0.0,649055549.0464901
-234.7975303591784,-2.1793037878510247e-07,0.0,0.0,1080330585.1640875
-715.7534393093885,-6.442665481684183e-07,0.0,0.0,1113822161.467658
-1812.4901006524528,-1.746766845760324e-06,4142729.441182648,0.002596994062256704,1195102427.9286556
-2624.4270591868376,-2.089122293314463e-06,0.0,0.0,687458440.9254742
-243.48668167363564,-1.6681369173589658e-07,0.0,0.0,881930239.4335413
-3406.8455587400053,-3.272097359062942e-06,1797884.141175589,0.0011763855844013132,756243637.1532816
-2596.634087364057,-2.1709326675191718e-06,13354834.555053385,0.00692600528347194,1105763522.5849323
-1202.5603439204071,-1.5323424594370206e-06,0.0,0.0,939607074.9820259
-5391.951264194257,-4.666921534100012e-06,0.0,0.0,1421632896.6483545
-403.4389435508292,-3.3793298468092956e-07,0.0,0.0,922475430.9821868
-1343.4652602403507,-1.3087230007385527e-06,0.0,0.0,825513050.546662
-2625.241143660341,-2.7963171182200505e-06,0.0,0.0,1096450939.7859702
-1857.9407536307833,-1.6708265138738255e-06,1791255.3896497204,0.0010540442969847001,875513511.362072
-308.3390895190957,-3.4257819523729396e-07,0.0,0.0,1102879694.8857913
-1328.8781991436229,-1.3730086821594084e-06,0.0,0.0,1175564710.8213117
-4438.058312870807,-4.240874640369771e-06,0.0,0.0,1251319524.18317
-1075.9706606267512,-8.406489382310148e-07,0.0,0.0,1339081882.492821
-402.00383900502624,-3.7244698427801055e-07,0.0,0.0,1046328063.8626838
-1983.4523734540746,-2.1936115829357977e-06,980991.0561787941,0.0007173568982870099,759614471.0295548
-2997.032182731638,-2.3530240472915672e-06,0.0,0.0,589328183.3960296
-524.5393987334159,-2.450798093449275e-07,52831083.70103091,0.024684193317411753,1218540457.5732684
-2040.119860864384,-2.2057633939201452e-06,0.0,0.0,897223581.4080577
-252.68623550449854,-2.3548779587133935e-07,0.0,0.0,1330636940.6152878
-826.2545829677739,-7.716951442089977e-07,0.0,0.0,914421064.422062
-4479.181562518645,-4.369493500191272e-06,0.0,0.0,1076684324.0190792
-4361.71147267586,-3.7535602411769185e-06,20660862.49306441,0.010551594663094684,788319059.2679851
-900.7096538201499,-8.719137051089225e-07,0.0,0.0,1128517895.7961059
-567.695150827303,-5.630862424238065e-07,0.0,0.0,874248778.5128196
-5787.760714703221,-4.876784828252333e-06,0.0,0.0,699127090.667471
-5882.676096630847,-5.5188014560817656e-06,0.0,0.0,1267960949.3782327
-619.2123211274953,-5.443699183353716e-07,0.0,0.0,1079080157.044393
-4839.532611965582,-4.868369051241627e-06,0.0,0.0,932508111.7288196
-1963.6238687945265,-1.74872439202735e-06,0.0,0.0,577970348.8064917
-1744.901378600731,-1.517005367099156e-06,0.0,0.0,804085487.6035184
-575.4815941690372,-6.503007106656719e-07,0.0,0.0,1419354507.2460775
-2133.4017446038783,-2.1243042631259572e-06,0.0,0.0,988092460.6098068
-389.7370521495866,-3.62328900598288e-07,0.0,0.0,800968997.4494264
-4177.319527389751,-4.123963118203814e-06,0.0,0.0,905704212.7028694
-746.8907008295557,-8.26124943715779e-07,0.0,0.0,928019013.6827567
-266.95368191577467,-2.3567859394716265e-07,8144191.974640025,0.004989512015132645,1009228675.9096203
-4915.366991930273,-4.9408527132181325e-06,0.0,0.0,961155914.7697697
-837.0103662085893,-1.0469410340776057e-06,0.0,0.0,706214058.4850614
-10578.28854044984,-7.909119772939452e-06,0.0,0.0,1003852384.1103475
-2253.076460051471,-2.2122919465151025e-06,0.0,0.0,1222608773.780291
-977.0548591556238,-8.109539239902956e-07,1429099.1443251912,0.000728502697239652,746009686.561287
-1377.002838911394,-1.5982375363370622e-06,1495528.8297996041,0.0011606730506314531,1382611425.5661907
-2125.9684360086953,-2.16922276861161e-06,0.0,0.0,865161065.6325475
-5705.604428895022,-4.160225379713656e-06,0.0,0.0,866067461.9914345
-911.2328548927599,-1.00675476869238e-06,947512.2614031332,0.0007825437871425461,1032550610.6350669
-3912.2553494129415,-3.4556935236058747e-06,0.0,0.0,1161794906.3885365
-2672.482497053563,-2.9294065477460603e-06,0.0,0.0,1110303817.7902231
-8861.197288660689,-8.104198277352721e-06,0.0,0.0,716377563.3720851
-292.6452839986938,-3.2418591808300596e-07,0.0,0.0,1256878574.0643291
-2433.586775447201,-2.1935159851658958e-06,1368718.6498052755,0.0007828960386474038,875551629.1080087
-803.4664297914154,-9.310372892949186e-07,1014259.5981849215,0.0007136419894613204,1037582952.6953135
-1118.0802649444088,-1.2801907366365867e-06,4531913.913620466,0.0032202967368637316,729804887.2331487
-5464.5524212021055,-4.6393535867159275e-06,0.0,0.0,1240430613.6596503
-933.4076641440092,-7.431317963434523e-07,0.0,0.0,1303541042.7022643
-4745.419368104628,-3.844846381175111e-06,0.0,0.0,1031348360.1250297
-617.4357071559507,-6.190914134662512e-07,0.0,0.0,624486402.1129009
-5117.4661591800805,-3.6700114865282635e-06,18836043.693233896,0.008274526927374926,717583907.7979457
-1501.6247982664922,-1.5159577200740846e-06,0.0,0.0,1280568957.2537055
-1540.9805185276155,-1.5372244993343731e-06,0.0,0.0,886822667.6140387
-4525.165804832406,-4.041607015512719e-06,12089699.540246788,0.006618645840250996,1052556310.2231671
-1446.762194519834,-1.3445443542382303e-06,0.0,0.0,1078636790.445626
-434.67051434587347,-5.972573896424073e-07,0.0,0.0,1145836644.3519483
-2365.7067745967242,-2.288046881270702e-06,0.0,0.0,1265405046.4037528
-1125.100568680737,-1.004078165416341e-06,0.0,0.0,873421543.5822815
-1405.3401300169355,-1.2045365059249503e-06,0.0,0.0,1314815760.2331305
-526.9764215184041,-5.399697869227118e-07,0.0,0.0,827135733.8846638
-2127.655328594597,-1.816369607239011e-06,7454701.262754371,0.00412924534105997,1230862651.8797162
-7211.065846080155,-8.161683716732334e-06,0.0,0.0,1112601807.7920475
-1177.2565473359605,-1.2874410180994218e-06,0.0,0.0,1162039692.460839
-540.8929122075454,-7.445285363067584e-07,1289441.517284376,0.0011854938300056121,1238344181.7107449
-2910.197263952478,-2.3884050069933575e-06,0.0,0.0,1105056909.869319
-2388.097550240706,-2.3104860758252245e-06,0.0,0.0,1100490185.071324
-1552.216478137917,-1.507157158914327e-06,0.0,0.0,1027122056.737131
-1271.6229874319797,-1.626175731673507e-06,0.0,0.0,875908947.9095025
-747.664375946901,-7.335019790156371e-07,1784908.8999010378,0.001164183228756031,661421895.8870925
-863.2691468370795,-8.241967157879567e-07,6821525.0727776345,0.004106606725354816,858286854.7107406
-2708.2997631196486,-2.4412103583898877e-06,1527817.7620282546,0.0008025150870841608,1184004802.5580502
-835.4568957136182,-6.87271440385346e-07,0.0,0.0,947071703.442913
-6467.525968255559,-5.373880246153437e-06,0.0,0.0,766112304.5353364
-1943.7321807893343,-1.9043712389543425e-06,0.0,0.0,787278388.0522084
-4223.134801034804,-4.902604819793279e-06,0.0,0.0,1262144839.8492944
-2564.7015703754564,-2.346851772492237e-06,0.0,0.0,781969026.5251622
-1570.136512012955,-1.4190465829755396e-06,0.0,0.0,1152735583.3451855
-110.27934880297002,-1.2984704484791064e-07,0.0,0.0,990692790.8449577
-6722.078698834677,-7.057357044275176e-06,3788126.6744475723,0.002695399963413537,1085597816.4236546
-632.7881971910087,-3.6287569022826396e-07,63733794.432881206,0.03654847664410052,978217561.0289999
-537.4346533226366,-4.967174578996666e-07,1760184.6209571129,0.0010587405163830503,938084884.6014684
-364.5199091728574,-3.433109834890415e-07,0.0,0.0,999830666.2569247
0.0,0.0,0.0,0.0,653676161.5338084
-13032.141426000004,-1.014442211229833e-05,1285691.3086840105,0.0007924263360052975,766270448.3167537
-1492.4610613772772,-1.6408433900109882e-06,0.0,0.0,896955469.6243377
-969.4249915730444,-9.51865669988194e-07,0.0,0.0,969410103.4287317
-1794.965565866364,-1.5086438345367356e-06,6547397.917765492,0.003372068394399871,866157637.6541572
-3971.365312381401,-4.923856714837981e-06,0.0,0.0,1415990744.8653128
-461.37721784142775,-3.2007662926381984e-07,0.0,0.0,1156475575.8891926
-2545.2719027519006,-2.4756710728914365e-06,0.0,0.0,879357108.3732148
-2057.6438739287855,-1.8209362711052116e-06,0.0,0.0,1407782216.9560857
-5101.791454171902,-4.111338549995679e-06,0.0,0.0,1405848141.6873717
-812.7428502899212,-6.964864000284576e-07,3150083.0132785635,0.0017251065943332308,1429829866.8341818
-4984.175268578265,-4.369044179433243e-06,0.0,0.0,1406101172.4093523
-934.4782156342802,-8.986457726861492e-07,3960357.9491235833,0.002425485744331997,1067089379.7207747
-2051.8249918246233,-2.2169451408960873e-06,0.0,0.0,818199593.157975
-467.84550798475846,-5.180035274560659e-07,0.0,0.0,1430201266.6583838
-827.9263871102269,-6.923446871439051e-07,0.0,0.0,735065164.7408054
-867.3066287936359,-7.426059227518599e-07,0.0,0.0,684140037.3684357
-2354.214960454487,-2.232264746058918e-06,0.0,0.0,875531470.5995067
-1559.1637482621024,-1.4248148801494167e-06,0.0,0.0,1098442907.8849235
-8807.12588611926,-7.190583590252254e-06,13362211.519856673,0.006932165020799213,893827543.537373
-1336.3049920140725,-1.6916593799440972e-06,0.0,0.0,1036914266.4442406
-613.6708342247655,-5.123076701568362e-07,0.0,0.0,1064535479.2344139
-1115.7973230734033,-1.2872526540359834e-06,3585601.1067719655,0.0027171111622008425,897347446.1925184
-2391.141352532682,-1.989461903539853e-06,0.0,0.0,1024366975.8848162
-1040.6353535988317,-1.211026063030089e-06,0.0,0.0,1053458005.3806541
-11753.564187321484,-8.849978971307964e-06,0.0,0.0,676697515.613923
-7701.2244787304035,-6.847983375812491e-06,0.0,0.0,878865133.5316435
-644.5498997980704,-2.9100089527375455e-07,64918421.35776186,0.029309319171077285,789343312.661599
-373.01152076776486,-4.466700256936815e-07,1882861.3319381298,0.0014989325429722227,1049310628.9292353
-417.424018483168,-3.3472825944677713e-07,4889298.180340998,0.002590604300553961,843829605.5222809
-1334.6683686239162,-9.231172720119169e-07,0.0,0.0,1103174948.1703806
-2822.4688417430452,-2.4346490508711664e-06,0.0,0.0,773808054.2645109
-5012.237748220546,-4.745202910173069e-06,0.0,0.0,988851964.3527174
-5785.697601333256,-4.931802104253345e-06,74446481.07981004,0.03648901519158253,1411583724.5184543
-1565.1875347175999,-1.6171755188739464e-06,0.0,0.0,965616429.6604843
-770.8455763503061,-9.913061092328885e-07,0.0,0.0,1285469403.2368195
-952.4007265648968,-5.369038491746863e-07,95924848.77888983,0.05407641878502523,936740575.4834802
-9847.981623238835,-7.2903215289975326e-06,453022.56084524863,0.00023236291376083976,1000289186.1849105
-366.6821274932276,-3.2151848340093636e-07,0.0,0.0,1282498736.7251925
-1520.120105582733,-1.5683521627242852e-06,0.0,0.0,1149805155.0449934
-890.069086082592,-6.700139431778445e-07,0.0,0.0,1238217312.2943819
-3486.494419310629,-3.1208838094758806e-06,0.0,0.0,1038732438.384145
-369.37220419663424,-3.24014990002427e-07,0.0,0.0,1175741765.0845752
-1605.8758605626797,-1.3153574580506653e-06,0.0,0.0,899399522.1011851
-1790.5671014557809,-1.5088734551579748e-06,0.0,0.0,865148760.8636755
-5852.891432461502,-5.822840121086062e-06,0.0,0.0,1018190378.4370869
-1204.954903422643,-1.3420751393672387e-06,0.0,0.0,1038249290.1092399
-8417.609521316625,-7.645921632764813e-06,0.0,0.0,875440229.4663559
-433.5778188933006,-5.697510480560679e-07,0.0,0.0,723633174.5605549
-14532.500446228945,-9.4776208004059e-06,0.0,0.0,1529387853.2654142
-311.5322474822449,-2.173518624002808e-07,0.0,0.0,1388710357.1759033
-1560.3242132806674,-1.8638757247632642e-06,0.0,0.0,1045158532.9639935
-425.4029932099961,-5.279051969450918e-07,199114.3635392254,0.0001613298237395098,1206050846.1508493
-1384.5804654061117,-1.237980389156066e-06,4165308.1471282495,0.0023482367268347908,799984575.6005294
-767.9365189276759,-9.85807845396744e-07,299482.22659993253,0.0002550956751072854,1107194310.5779479
-9485.009378111903,-9.02206857188545e-06,0.0,0.0,1252080765.3751194
-10292.387477514709,-9.709467701999559e-06,11801532.439812262,0.007268625303794043,963750380.2364141
-1363.8874984133258,-1.0035412842220506e-06,19221299.326139107,0.008803545620046614,957550550.062115
-429.2483119150292,-4.696438613505389e-07,0.0,0.0,882153785.7219883
-1013.7172846248657,-9.915507014625096e-07,1757276.0668571698,0.001138196378172426,641344081.5344324
-1329.0324273054712,-1.476071262564035e-06,2409730.1050555645,0.0017385522566646674,718639896.4762168
-1474.5531910455236,-1.6191040833850203e-06,0.0,0.0,691006889.8986796
