hypervolume,epsilon_progress,nfe
0.0,0,0
0.5902790861371726,10,100
0.5908451332744864,12,300
0.6158120607902293,19,597
0.6181235430208295,29,895
0.6353717431774589,42,1193
0.6397564003954382,49,1393
0.6437113580959337,54,1689
0.6434505954718631,62,1980
0.6434851096986792,64,2260
0.6434849134047275,66,2532
0.6434811613170616,67,2799
0.6434811613170616,67,3069
0.6434811613170616,67,3345
0.6434811613170616,67,3623
0.6434811613170616,67,3895
0.6434811613170616,67,4167
0.6434811613170616,67,4441
0.6434811613170616,67,4709
0.6434811613170616,67,4968
0.6434811613170616,67,5232
0.6434811613170616,67,5505
0.6434811613170616,67,5781
0.6434811613170616,67,6048
0.6434811613170616,67,6312
0.6434811613170616,67,6572
0.6434811613170616,67,6841
0.6434811613170616,67,7115
0.6434811613170616,67,7376
