hypervolume,epsilon_progress,nfe
0.0,0,0
0.843524821831087,9,100
0.8833822466931079,14,300
0.9102650426194235,20,500
0.9362729557900621,27,799
0.964288008664021,34,1094
0.98713054982687,42,1393
0.9931688803771491,51,1686
0.9932991272739979,59,1979
0.9985465234344935,67,2264
0.9987148035618141,75,2545
0.9987509743935381,82,2811
0.9987511282144564,84,3066
0.9987248699809352,87,3342
0.9987191635010363,88,3608
0.9987145578702757,89,3878
0.9987145578702757,89,4142
0.9987145578702757,89,4420
0.9987145578702757,89,4703
0.9987145578702757,89,4979
0.9987145578702757,89,5254
0.9987145578702757,89,5537
0.9987145578702757,89,5817
0.9987145578702757,89,6097
0.9987145578702757,89,6378
