hypervolume,epsilon_progress,nfe
0.0,0,0
0.8487714022771166,20,100
0.8803185176889252,25,300
0.9051896992432872,37,500
0.9245114317105323,62,798
0.945019281797765,81,1096
0.9544488685863608,97,1391
0.9552429254930481,105,1591
0.9667751654619834,122,1885
0.9705131345308198,129,2182
0.9725148475374049,139,2476
0.9740147754783818,153,2769
0.9756200431110572,164,3050
0.9756660552797743,167,3334
0.9756584521710817,168,3612
0.9756627604242473,169,3889
0.9756627604242473,169,4164
0.9756627604242473,169,4434
0.9756627604242473,169,4708
0.9755761623102092,170,4988
0.9755786144275328,171,5263
0.9756664330863613,172,5545
0.9756664330863613,172,5820
0.9756664330863613,172,6108
0.9756433202090488,173,6396
0.9756471138449654,175,6681
0.9756471138449654,175,6965
0.9756471138449654,175,7246
