hypervolume,epsilon_progress,nfe
0.0,0,0
0.0870479015427188,14,100
0.108258773973828,16,300
0.12374093919562164,22,500
0.1290946621171516,31,791
0.1346796432026668,44,1089
0.14286903444316945,69,1386
0.145165174179562,90,1677
0.14894642827499185,111,1973
0.15144847876486742,127,2272
0.15222300497518043,136,2472
0.1533211839259646,143,2763
0.15324423966900766,159,3058
0.15470320223977257,172,3333
0.15449959510377695,180,3611
0.15356715554060404,185,3892
0.15339920937739304,190,4178
0.15190936394580948,192,4453
0.15192409831281137,196,4742
0.15192409831281137,196,5024
0.15192409831281137,196,5304
0.15192245935758436,197,5590
0.15192245935758436,197,5876
0.15192240728210704,198,6151
0.1519243201426343,199,6430
0.15192516624228375,200,6714
0.15192516624228375,200,6993
0.15192516624228375,200,7270
