3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Gorssel and Deventer Expected Annual Damage,Gorssel and Deventer Expected Number of Deaths,Gorssel and Deventer Total Costs
1,0,0,0,0,0,0,1,2,0,10,2,0,3743151.1658691308,0.001594557583984113,231871345.1887891
0,0,0,0,0,0,3,0,0,0,5,0,0,739856752.3260541,0.058499065278943246,36712651.52896897
0,0,0,0,0,0,3,0,0,0,2,0,0,1668601138.7571125,0.1283232817804682,27663569.73055414
1,0,1,0,0,0,3,2,1,0,10,1,0,505757.5023596181,2.6537825673580695e-05,349704437.48717594
0,0,0,0,0,0,2,0,0,0,8,0,0,72153266.40359426,0.006295089563966827,48466499.349284984
0,0,0,0,0,0,3,0,0,0,0,0,0,1769380346.3057623,0.13538185400242797,91187.99799532007
0,0,0,0,0,0,0,0,2,0,9,2,0,14033256.703980718,0.005915535516254669,97762250.97425148
0,0,0,0,0,0,0,0,3,0,9,3,0,11008702.953142226,0.004589145636072918,102636131.91341662
0,0,0,0,0,0,1,1,0,0,10,0,0,26205409.98869157,0.004875478346141502,64498031.54157684
0,0,0,0,0,0,1,0,0,0,9,0,0,27452425.720507063,0.004038006907897834,53114665.38830869
0,0,1,0,0,0,0,1,2,0,9,3,0,4742017.602160636,0.0022854184172169056,229286148.20072728
0,0,0,0,0,0,1,1,4,0,10,3,0,8735136.662897188,0.0016251594487138338,116996192.5745492
0,1,1,0,0,0,0,2,0,2,10,0,0,2179764.386493763,0.0012581407422474337,315750436.4086485
