3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Gorssel and Deventer Expected Annual Damage,Gorssel and Deventer Expected Number of Deaths,Gorssel and Deventer Total Costs
0,0,0,0,0,0,2,0,2,0,0,0,0,227841894.40102345,0.02947563171666935,7343033.367957616
0,0,0,0,0,0,2,0,0,0,0,0,0,229249364.5351255,0.029588272139863626,11029.339763169028
0,0,0,0,0,0,2,0,1,0,0,0,0,228358221.90523237,0.02951639441979336,6331780.690633669
0,0,0,0,0,0,2,0,0,0,3,0,0,62615486.28855343,0.008345429910779318,30354572.79004704
0,0,0,0,0,0,1,0,0,0,4,0,0,16510019.637488514,0.005768726651020727,33377653.627179373
0,0,0,0,0,0,2,0,0,0,2,0,0,112498724.57332127,0.01466469956658312,27583612.72765446
0,0,0,0,0,0,0,0,0,0,5,0,0,7513060.392980622,0.006955432158741092,36676675.840294495
0,0,0,0,0,0,0,0,0,0,6,0,0,1761615.104765308,0.0011282160669651392,40273672.383724004
0,0,0,0,0,0,0,1,0,0,6,0,0,676896.9176213517,0.0004428101555959133,46594472.69339025
0,0,0,0,0,0,1,2,0,0,6,0,0,0.0,0.0,47605752.60324578
