3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Gorssel and Deventer Expected Annual Damage,Gorssel and Deventer Expected Number of Deaths,Gorssel and Deventer Total Costs
0,0,0,0,0,0,0,5,0,0,6,0,0,1480792.840099748,0.0012441576683790026,51342444.06997846
0,0,0,0,0,0,2,0,0,0,0,0,0,62338466.92274254,0.006112873453264658,5136.645032045757
0,0,0,0,0,0,3,6,0,0,7,0,0,0.0,0.0,56779971.54391775
0,0,0,0,0,0,2,1,0,0,0,0,0,37796751.906560704,0.004224382272412889,6323791.559547923
0,0,0,0,0,0,0,5,0,0,5,0,0,3686491.6194587825,0.004116938104704247,47745447.52654895
0,0,0,0,0,0,1,1,0,0,1,0,0,33766251.763765395,0.008337790417852719,31359642.022250354
0,0,0,0,0,0,0,4,0,0,4,0,0,5852818.930574388,0.005720954478067344,43072311.91936214
0,0,0,0,0,0,0,4,0,0,5,0,0,3900107.323136514,0.003193561602310618,46371871.202459544
0,0,0,0,0,0,1,2,0,0,3,0,0,14622874.034961563,0.003943211979486391,37684264.4941732
0,0,0,0,0,0,1,2,0,0,2,0,0,22358687.951619823,0.007493836371251767,34911295.361287706
0,0,0,0,0,0,0,3,0,0,3,0,0,9299098.544483209,0.007282385068749881,38804933.73898803
