3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Gorssel and Deventer Expected Annual Damage,Gorssel and Deventer Expected Number of Deaths,Gorssel and Deventer Total Costs
0,0,0,0,0,0,3,0,0,0,0,0,0,128644594.14850369,0.009286711530439713,13642.823647382389
0,0,0,0,0,0,2,10,0,0,5,0,0,0.0,0.0,57061014.28348966
0,0,0,0,0,0,0,7,0,0,3,0,0,3993873.948017956,0.003308740495722366,44613177.82387923
0,0,0,0,0,0,2,3,0,0,0,0,0,57932348.554272726,0.005766128917219251,8458141.664376998
0,0,0,0,0,0,1,4,0,0,0,0,0,34223197.8130842,0.008524665699521108,9696834.79839928
0,0,0,0,0,0,1,5,0,0,0,0,0,25801484.23678472,0.00908021217450113,11069894.160630869
0,0,0,0,0,0,2,2,0,0,0,0,0,83097165.10302785,0.008023518915872746,7338979.93470947
0,0,0,0,0,0,1,5,0,0,1,0,0,14961028.749527503,0.0040927468797237595,36106651.00727501
0,0,0,0,0,0,2,1,0,0,0,0,0,106296998.03970706,0.009956401085261768,6329744.542229602
0,0,0,0,0,0,0,8,0,0,3,0,0,3822364.8610386355,0.004296703565146465,46460442.78454088
0,0,0,0,0,0,0,6,0,0,2,0,0,9507696.405713454,0.007538617719279162,40164687.966433346
0,0,0,0,0,0,2,8,0,0,5,0,0,1522681.791989807,0.0001943418385743492,52785693.32036739
0,0,0,0,0,0,3,9,0,0,4,0,0,2404071.2961162906,0.00037723272294493744,51521401.82788468
