3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Gorssel and Deventer Expected Annual Damage,Gorssel and Deventer Expected Number of Deaths,Gorssel and Deventer Total Costs
0,0,0,0,0,0,3,0,0,0,5,0,0,316497991.9452305,0.03857774317988114,36699280.63216296
0,0,0,0,0,0,0,0,0,0,10,0,0,4920983.494488787,0.0033047457078209806,58176627.77592012
0,0,0,0,0,0,3,0,0,0,2,0,0,917917621.9129157,0.10837005038817836,27646944.588491462
0,0,0,0,0,0,3,0,0,0,1,0,0,1136519050.450959,0.13237599091744012,25123980.82530039
0,0,0,0,0,0,2,0,0,0,3,0,0,715051024.1336751,0.10675123947963772,30393879.2623505
0,0,0,0,0,0,2,0,0,0,9,0,0,32049360.135560866,0.004754134834957174,53115802.12132762
0,0,0,0,0,0,1,0,0,0,4,0,0,507644664.79233456,0.18376172365295101,33394954.406452972
0,0,0,0,0,0,1,0,0,0,7,0,0,151419687.26068228,0.055903426020109365,44198683.53606956
0,0,0,0,0,0,3,0,0,0,6,0,0,200242415.79407388,0.02459062336842046,40287834.85037822
0,0,0,0,0,0,3,0,0,0,3,0,0,715051024.1336751,0.08540099158371017,30404143.68977864
0,0,0,0,0,0,0,0,0,0,2,0,0,917917621.9129157,0.9030837532348196,27578229.96765524
0,0,0,0,0,0,2,0,0,0,8,0,0,98745900.77448004,0.015172384218127168,48469272.93214701
0,0,0,0,0,0,3,0,0,0,7,0,0,151419687.26068228,0.018634475340036455,44204176.651432574
0,0,0,0,0,0,3,0,0,0,4,0,0,507644664.79233456,0.061253907884317005,33413907.12128734
0,0,0,0,0,0,3,0,0,0,0,0,0,1205186861.04875,0.1396316566861157,92707.92763319294
0,0,0,0,0,0,1,0,0,0,1,0,0,1136519050.450959,0.3971279727523203,25079282.80817454
0,1,1,0,0,0,2,1,0,0,10,0,0,0.0,0.0,306897428.08558637
0,0,0,0,0,0,0,0,3,0,10,2,0,1511163.6627688347,0.0011009378006457467,105221328.90147844
0,0,0,0,0,0,1,0,2,0,10,2,0,1611878.2225404098,0.00042410938468908515,104100059.4008328
0,0,0,0,0,0,0,0,1,0,10,1,0,2809775.5615775706,0.0019627060500593497,99532978.82891521
1,0,0,0,0,0,2,0,3,0,9,2,0,877318.4283392786,9.485425902722714e-05,220083631.58351177
