3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Gorssel and Deventer Expected Annual Damage,Gorssel and Deventer Expected Number of Deaths,Total Costs of Policies
0,0,0,0,0,0,0,0,0,0,0,0,0,1186819012.7184086,1.0251489997838632,1495149945.9152508
0,0,0,0,0,0,0,0,0,0,2,0,0,685581193.8584282,0.6023319683424287,1522728175.8829057
0,0,0,0,0,0,2,3,2,0,10,0,0,1554083.242225501,0.0002123738490448337,1569893774.6580408
0,0,0,0,0,0,0,0,0,0,7,0,0,68580328.93665552,0.037481570194388796,1539343459.4603903
0,0,0,0,0,0,0,0,0,0,3,0,0,445152619.8575246,0.38701124528075204,1525501471.9576306
0,0,0,0,0,0,0,1,0,0,7,0,0,40837775.73518777,0.02457128570952054,1545664259.7700565
0,0,0,0,0,0,0,3,0,0,0,0,0,1156705514.0541663,1.025503813558515,1503603353.6118586
0,0,0,0,0,0,0,0,0,0,5,0,0,142356824.03947115,0.10947296850860795,1531826621.7555451
0,0,0,0,0,0,0,2,0,0,8,0,0,19004653.840224877,0.014668634212834656,1550945727.8319643
0,0,0,0,0,0,0,0,0,0,4,0,0,262070986.01112822,0.221268347782768,1528527062.4724476
0,0,0,0,0,0,0,0,0,0,8,0,0,61491100.853285894,0.03043905965725648,1543613647.6124425
0,0,0,0,0,0,0,0,0,0,1,0,0,898540656.5461757,0.7860600532337505,1520187160.0014243
0,0,0,0,0,0,0,0,0,0,6,0,0,98019022.3456285,0.0665928020645183,1535423618.2989745
0,0,0,0,0,0,0,3,0,0,8,0,0,14184835.288290642,0.012076247053477731,1552067055.3090503
0,0,0,0,0,0,0,1,0,0,0,0,0,1163481056.6633005,1.0168829685846206,1501470746.224917
0,0,0,0,0,0,0,2,0,0,0,0,0,1160648173.0767634,1.0271617396983812,1502482026.1347725
0,0,0,0,0,0,0,1,0,0,8,0,0,33748547.65181814,0.01752877517238823,1549934447.9221087
0,0,0,0,0,0,1,7,0,0,10,0,0,3959328.520188411,0.0014471071003556734,1567590777.2770479
0,0,0,0,0,0,2,2,0,0,9,0,0,10713820.220122254,0.0009519032740893331,1555600669.9049566
0,0,0,0,0,0,0,3,0,0,9,0,0,5894001.66818802,0.0037536346679052954,1556717356.3287406
0,0,0,0,0,0,0,6,0,0,5,6,0,0.0,0.0,1592054281.262266
0,0,0,0,0,0,3,5,0,0,5,6,0,450392.47863112204,3.546721957315168e-05,1590541622.6092975
