hypervolume,epsilon_progress,nfe
0.0,0,0
0.8421281469793145,18,100
0.906571006187171,28,300
0.9280757170810894,40,500
0.9342064224916629,52,700
0.942993645466772,60,900
0.955431578595128,75,1199
0.963289371471081,98,1495
0.9715234327909787,121,1791
0.9738952148731953,128,2084
0.9764560574216046,141,2365
0.9764562192796706,142,2645
0.9764294940696072,143,2926
0.9764556964383069,144,3195
0.9764556964383069,144,3466
0.9764556964383069,144,3740
0.9764556964383069,144,4015
0.9764898267835913,146,4296
0.9764898267835913,146,4571
0.9764934629230131,147,4852
0.9764934629230131,147,5138
0.9764934629230131,147,5420
0.9764934629230131,147,5687
0.9764934629230131,147,5970
0.9764934629230131,147,6257
0.9764934629230131,147,6538
0.9764934629230131,147,6819
0.9764934629230131,147,7106
0.9764934629230131,147,7382
