3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Gorssel and Deventer Expected Annual Damage,Gorssel and Deventer Expected Number of Deaths,Gorssel and Deventer Total Costs
0,0,0,0,0,0,3,0,0,0,0,0,0,1752733234.8028731,0.13407303487529837,90381.30043406853
0,0,0,0,0,0,0,1,0,0,10,0,0,16185012.473172031,0.006825741159535029,64497428.08558637
0,0,0,0,0,0,2,0,0,0,8,0,0,87533973.58873129,0.007911716425411438,48467094.836444736
0,0,0,0,0,0,0,0,2,0,9,2,0,12070911.912435314,0.005025076038181496,97762250.97425148
0,0,0,0,0,0,3,0,0,0,2,0,0,1558875709.221056,0.12036484190841354,27657485.439747483
0,0,0,0,0,0,0,1,3,0,10,2,0,5395004.157724011,0.002275247053178343,111830989.38522135
0,0,0,0,0,0,3,0,0,0,5,0,0,631541119.4273989,0.0499551541862477,36707298.31840239
1,1,0,0,0,0,2,2,0,0,10,0,0,465414.1935500156,3.0117753237394963e-05,307908725.7522737
0,0,0,0,0,0,1,0,0,0,9,0,0,25870603.352706842,0.0037729539525743197,53114631.7661465
0,0,0,0,0,0,0,0,4,0,9,3,0,8623534.450902281,0.003493475882013259,103877919.57897362
0,1,0,0,0,0,0,2,1,0,10,1,0,2215658.5878904546,0.0012949541126966425,228504413.82416445
