0,Deventer Expected Annual Damage,Deventer Expected Number of Deaths
0_RfR 0,0.009478424496821462,0.010752845546822523
0_RfR 1,0.013609656168637456,0.013588075833415873
0_RfR 2,0.011146297226275597,0.011392954486128247
1_RfR 0,0.014361498703939784,0.012392052206939844
1_RfR 1,0.011164486826479877,0.010008744883561517
1_RfR 2,0.012316739037513092,0.008206382417439111
2_RfR 0,0.010686898785573396,0.009781620763610208
2_RfR 1,0.012152684443906445,0.01148591827232964
2_RfR 2,0.008664589882840568,0.008375041938788769
3_RfR 0,0.0,0.0
3_RfR 1,0.0,0.0
3_RfR 2,0.0,0.0
4_RfR 0,0.0,0.0
4_RfR 1,0.0,0.0
4_RfR 2,0.0,0.0
A.0_ID flood wave shape,0.020356645414232145,0.01633465961966215
A.1_Bmax,0.018294687562987876,0.011716599155412125
A.1_Brate,0.012740386491644797,0.013580121633511251
A.1_DikeIncrease 0,0.021974127319813685,0.018138658180010474
A.1_DikeIncrease 1,0.013936285122922894,0.012628813733529008
A.1_DikeIncrease 2,0.011784978000159896,0.008808725110201528
A.1_pfail,0.009067247482464392,0.00961470840809551
A.2_Bmax,0.013258776841520683,0.014043711101679535
A.2_Brate,0.018655889179543306,0.013957284553514243
A.2_DikeIncrease 0,0.016731109446645347,0.020564394018460986
A.2_DikeIncrease 1,0.020810980952375376,0.014818946005023707
A.2_DikeIncrease 2,0.01168178304724723,0.009839854385193244
A.2_pfail,0.010749545111818224,0.009748789562556728
A.3_Bmax,0.008307238052686143,0.007828798228775552
A.3_Brate,0.01507769230595088,0.010055609770358872
A.3_DikeIncrease 0,0.013531317418408711,0.011936653258322988
A.3_DikeIncrease 1,0.010276378905444616,0.012429408651245014
A.3_DikeIncrease 2,0.009870189416395624,0.009590176834989594
A.3_pfail,0.009901694954332007,0.00966430302769347
A.4_Bmax,0.022584391350251438,0.018268839056103357
A.4_Brate,0.008189467042821919,0.009765061241809094
A.4_DikeIncrease 0,0.0,0.0
A.4_DikeIncrease 1,0.0,0.0
A.4_DikeIncrease 2,0.0,0.0
A.4_pfail,0.050623797550053605,0.056352346110052326
A.5_Bmax,0.015245550660482832,0.012009221007435126
A.5_Brate,0.018731540420595043,0.012968732446891281
A.5_pfail,0.4670796157297839,0.527580481078963
EWS_DaysToThreat,0.0,0.0
discount rate 0,0.013677351887774065,0.009712932321442358
discount rate 1,0.020567990643582237,0.012984884702377237
discount rate 2,0.012712066116073499,0.009073650447654505
