0,Gorssel and Deventer Expected Annual Damage,Gorssel and Deventer Expected Number of Deaths
0_RfR 0,0.009167927601108572,0.009870552358789595
0_RfR 1,0.013685130320127362,0.014045863113588412
0_RfR 2,0.008702832074726472,0.010654125168098664
1_RfR 0,0.009299959557540427,0.013606033950548655
1_RfR 1,0.008922594124847713,0.010790680946291044
1_RfR 2,0.009075967409752694,0.00995202417487594
2_RfR 0,0.013110792164535201,0.010304318104929015
2_RfR 1,0.00798259664265113,0.012154041238893153
2_RfR 2,0.011055639669616313,0.008838027873351728
3_RfR 0,0.0,0.0
3_RfR 1,0.0,0.0
3_RfR 2,0.0,0.0
4_RfR 0,0.0,0.0
4_RfR 1,0.0,0.0
4_RfR 2,0.0,0.0
A.0_ID flood wave shape,0.018824844590405405,0.013587956762417665
A.1_Bmax,0.015258196324055543,0.010532738109274933
A.1_Brate,0.01146381398931193,0.013692044421713371
A.1_DikeIncrease 0,0.012542920765286042,0.014898515039277612
A.1_DikeIncrease 1,0.012726771582121236,0.014587875473914623
A.1_DikeIncrease 2,0.008712605375231434,0.009500708697476625
A.1_pfail,0.00941863013857389,0.012222539721234885
A.2_Bmax,0.00990823230538547,0.011650832373909691
A.2_Brate,0.016259973618818993,0.014222261959184208
A.2_DikeIncrease 0,0.01983713406458606,0.019934813423199096
A.2_DikeIncrease 1,0.011737166647874683,0.017940271503023398
A.2_DikeIncrease 2,0.008685792222016351,0.011381674664057423
A.2_pfail,0.01639156776427045,0.009869079040373492
A.3_Bmax,0.00926416136234531,0.00886884313177787
A.3_Brate,0.01421703801221971,0.014392857565581145
A.3_DikeIncrease 0,0.010861279412522922,0.010618723988852911
A.3_DikeIncrease 1,0.009947042341342192,0.01337420478355953
A.3_DikeIncrease 2,0.008191828348474213,0.0071360239163157195
A.3_pfail,0.008459324601687766,0.009001077541487561
A.4_Bmax,0.013184038745318009,0.01771824586970877
A.4_Brate,0.009435247296540807,0.010134206951419145
A.4_DikeIncrease 0,0.0,0.0
A.4_DikeIncrease 1,0.0,0.0
A.4_DikeIncrease 2,0.0,0.0
A.4_pfail,0.026992664880424625,0.04581655553062964
A.5_Bmax,0.011477966001837809,0.014468730405661514
A.5_Brate,0.01327743697375277,0.01496527961535313
A.5_DikeIncrease 0,0.0,0.0
A.5_DikeIncrease 1,0.0,0.0
A.5_DikeIncrease 2,0.0,0.0
A.5_pfail,0.5514191105983844,0.5227688971957478
EWS_DaysToThreat,0.0,0.0
discount rate 0,0.012566864237139411,0.014290624648804066
discount rate 1,0.023896645338202845,0.012287518166935536
discount rate 2,0.014038262896963876,0.00992123256974242
